year,affiliation,paper_count,region,country
2021,Conservatoire National des Arts et Métiers,1,Europe,France
2021,Cornell University,60,United States,United States
2021,Covariant,7,Other/Unknown,Unknown
2021,Cranfield University,1,Europe,United Kingdom
2021,Criteo,1,Other/Unknown,Unknown
2021,Criteo AI Lab,1,Other/Unknown,Unknown
2021,CrownShy,2,Other/Unknown,Unknown
2021,Cruise,1,Other/Unknown,Unknown
2021,CtrsVision,1,Other/Unknown,Unknown
2021,Cubist Systematic Strategies,2,Other/Unknown,Unknown
2021,CyberAgent,3,Asia-Pacific (excl. China),Japan
2021,DAV Institute of Engineering & Technology,4,Asia-Pacific (excl. China),India
2021,DIKU,1,Other/Unknown,Unknown
2021,Dalhousie University,2,Canada,Canada
2021,Dalian Martime University,1,China,China
2021,Dalian University of Technology,5,China,China
2021,Dalle Molle Institute for Artificial Intelligence Research,1,Europe,Switzerland
2021,Dartmouth College,2,United States,United States
2021,Databricks,2,Other/Unknown,Unknown
2021,Datadog,3,Other/Unknown,Unknown
2021,Datakalab,1,Other/Unknown,Unknown
2021,Davis & Elkins College,2,United States,United States
2021,Deakin University,9,Asia-Pacific (excl. China),Australia
2021,DeepSeek,1,Other/Unknown,Unknown
2021,Defense Language Institute Foreign Language Center,5,United States,United States
2021,Delft University of Technology,4,Europe,Netherlands
2021,Dhirubhai Ambani Institute of Information and Communication Technology,3,Asia-Pacific (excl. China),India
2021,DiDi,3,China,China
2021,DigiPen Institute of Technology,1,United States,United States
2021,Dolby,1,Other/Unknown,Unknown
2021,"Donghua University, Shanghai",3,China,China
2021,Doshisha University,1,Asia-Pacific (excl. China),Japan
2021,DreamSports,1,Other/Unknown,Unknown
2021,DreamTech,1,Other/Unknown,Unknown
2021,Drexel University,3,United States,United States
2021,Dublin City University,1,Europe,Ireland
2021,Duke University,24,United States,United States
2021,Dzine AI,1,Other/Unknown,Unknown
2021,ECAM - Institut Supérieur Industriel,2,Europe,Belgium
2021,ENSAE Paris,5,Europe,France
2021,EPFL - EPF Lausanne,25,Europe,Switzerland
2021,ESSEC,1,Other/Unknown,Unknown
2021,ETHZ - ETH Zurich,39,Europe,Switzerland
2021,EURECOM,1,Other/Unknown,Unknown
2021,East China Normal University,3,China,China
2021,Eberhard-Karls-Universität Tübingen,6,Europe,Germany
2021,Ecole Nationale Supérieure d'Agronomie de Rennes,3,Europe,France
2021,Ecole Nationale de la Statistique et de l'Administration Economique,4,Europe,France
2021,Ecole Normale Supérieure de Fontenay-Saint Cloud,6,Europe,France
2021,Ecole Normale Supérieure de Lyon,4,Europe,France
2021,Ecole Normale Supérieure de Paris,7,Europe,France
2021,Ecole Supérieure de Commerce de Rouen,1,Europe,France
2021,Ecole Supérieure des Sciences Economiques et Commerciales,1,Europe,France
2021,Ecole pour l'Informatique et les nouvelles Technologies - Albania,9,Other/Unknown,Albania
2021,"Econometrica, Inc.",2,Other/Unknown,Unknown
2021,Eindhoven University of Technology,7,Europe,Netherlands
2021,Elevate,1,Other/Unknown,Unknown
2021,Emory University,3,United States,United States
2021,Engineering Institute of Technology,53,Asia-Pacific (excl. China),Australia
2021,Enterprise State Community College,1,United States,United States
2021,Ericsson,1,Other/Unknown,Unknown
2021,Eurecom,1,Other/Unknown,Unknown
2021,Evangelische Fachhochschule Darmstadt,8,Europe,Germany
2021,Evangelische Hochschule für Soziale Arbeit Dresden (FH),1,Europe,Germany
2021,FAIR,1,Other/Unknown,Unknown
2021,FAR AI,1,Other/Unknown,Unknown
2021,FHNW - Fachhochschule Nordwestschweiz,1,Europe,Switzerland
2021,Fachhochschule Kaiserslautern,1,Europe,Germany
2021,Federal University (Brazil),1,Latin America,Brazil
2021,First Nations University of Canada,2,Canada,Canada
2021,Flatiron Institute,16,United States,United States
2021,Florida International University,1,United States,United States
2021,Florida State University,4,United States,United States
2021,Fondazione Bruno Kessler,2,Other/Unknown,Unknown
2021,Franklin Pierce Law Center,1,United States,United States
2021,Freie Universität Berlin,3,Europe,Germany
2021,FriendliAI,1,Other/Unknown,Unknown
2021,Fudan University,22,China,China
2021,Futurewei Inc.,3,Other/Unknown,Unknown
2021,Galbot,1,Other/Unknown,Unknown
2021,"Galois, Inc.",1,Other/Unknown,Unknown
2021,GenenTech,1,Other/Unknown,Unknown
2021,Genentech,6,Other/Unknown,Unknown
2021,Genesis,1,Other/Unknown,Unknown
2021,Georgia Institute of Technology,62,United States,United States
2021,Ghana Telecom University College,4,Middle East & Africa,Ghana
2021,Ghent University,1,Europe,Belgium
2021,Gipsa-lab,1,Other/Unknown,Unknown
2021,Globe University & Minnesota School of Business,40,United States,United States
2021,Google,258,United States,United States
2021,Google DeepMind,95,Europe,United Kingdom
2021,Graphcore,2,Other/Unknown,Unknown
2021,Gray Swan,2,Other/Unknown,Unknown
2021,Gray Swan AI,1,Other/Unknown,Unknown
2021,Greater Kolkata College of Engineering & Management,1,Asia-Pacific (excl. China),India
2021,Griffith University,1,Asia-Pacific (excl. China),Australia
2021,Guangdong University of Technology,3,China,China
2021,HEC Montreal,2,Other/Unknown,Unknown
2021,HES-SO : UAS Western Switzerland,2,Europe,Switzerland
2021,HRL Laboratories,2,Other/Unknown,Unknown
2021,"HRL Laboratories, LLC",2,Other/Unknown,Unknown
2021,HRL Labs,1,Other/Unknown,Unknown
2021,Hainan University,1,China,China
2021,Halmstad University College,1,Europe,Sweden
2021,Hanyang University,2,Asia-Pacific (excl. China),South Korea
2021,Harbin Institute of Technology,10,China,China
2021,Harvard University,105,United States,United States
2021,Haverford College in Pennsylvania,1,United States,United States
2021,Hebei Agricultural University,1,China,China
2021,Hebei University,1,China,China
2021,Hebei University of Technology,1,China,China
2021,Hebrew University of Jerusalem,3,Middle East & Africa,Israel
2021,Hefei University of Technology,1,China,China
2021,Heilongjiang University,1,China,China
2021,Helmholtz Association,11,Europe,Germany
2021,Herophilus,1,Other/Unknown,Unknown
2021,Higher School of Economics,1,Other/Unknown,Russian Federation
2021,Ho Technical University,13,Middle East & Africa,Ghana
2021,Hochschule für Gestaltung und Kunst Zürich,5,Europe,Switzerland
2021,Hogeschool van Amsterdam,2,Europe,Netherlands
2021,Honeywell,1,Other/Unknown,Unknown
2021,Hong Kong Baptist University,2,China,Hong Kong
2021,Horizon Robotics,1,Other/Unknown,Unknown
2021,"Hotstar, Disney",1,Other/Unknown,Unknown
2021,Huaqiao University Quanzhuo,1,China,China
2021,Huawei,41,China,China
2021,Huawei Noah's Ark Lab,7,China,China
2021,Huazhong University of Science and Technology,8,China,China
2021,Hugging Face,4,Other/Unknown,Unknown
2021,Hulu LLC.,1,Other/Unknown,Unknown
2021,Hunan University,13,China,China
2021,Huya Inc,1,Other/Unknown,Unknown
2021,"I2R, ASTAR",1,Other/Unknown,Unknown
2021,IASE (Institute of Advanced Studies) Deemed University,5,Asia-Pacific (excl. China),India
2021,IBM Research,25,United States,United States
2021,ICI University,3,United States,United States
2021,ICM,2,Other/Unknown,Unknown
2021,IDEAS NCBR,5,Other/Unknown,Unknown
2021,IE University,4,Europe,Spain
2021,IESE Business School,1,Europe,Spain
2021,IIAI,1,Other/Unknown,Unknown
2021,IIT Bhubaneswar,1,Asia-Pacific (excl. China),India
2021,IRD,1,Other/Unknown,Unknown
2021,IRIT,2,Other/Unknown,Unknown
2021,IT University of Copenhagen,1,Europe,Denmark
2021,ITT Technical Institute,17,United States,United States
2021,Idiap Research Institute,1,Europe,Switzerland
2021,Imperial College London,32,Europe,United Kingdom
2021,InVivo AI,1,Other/Unknown,Unknown
2021,Inc. Kuaishou,1,Other/Unknown,Unknown
2021,"Independent University, Bangladesh",3,Asia-Pacific (excl. China),Bangladesh
2021,Indian Institute of Information Technology Sri City,1,Asia-Pacific (excl. China),India
2021,Indian Institute of Science,11,Asia-Pacific (excl. China),India
2021,"Indian Institute of Technology, Bombay",8,Asia-Pacific (excl. China),India
2021,"Indian Institute of Technology, Delhi",3,Asia-Pacific (excl. China),India
2021,"Indian Institute of Technology, Gandhinagar",1,Asia-Pacific (excl. China),India
2021,"Indian Institute of Technology, Guwahati",1,Asia-Pacific (excl. China),India
2021,"Indian Institute of Technology, Hyderabad",2,Asia-Pacific (excl. China),India
